Y,M,D,H,G(i),H_sun,T2m,WS10m,Int,,Electric Power (kW)
2020,1,16,9,138.17,7.02,7.2,8,0,,1.911261227
2020,1,16,10,477.9,10.8,7.28,7.79,0,,2.257888352
2020,1,16,11,333.54,12.69,7.42,7.66,0,,2.386876422
2020,1,16,12,419.05,12.52,7.47,7.59,0,,2.257888352
2020,1,16,13,436.69,10.3,7.48,7.79,0,,1.911261227
2020,1,16,14,62.35,6.22,7.38,7.66,0,,1.447713731
2020,1,16,15,0,0,7.03,7.59,0,,0.981274233
2020,1,16,16,0,0,6.62,7.59,0,,0.595172908
2020,1,16,17,0,0,6.28,8.07,0,,0.323028597
2020,1,16,18,0,0,5.99,8.48,0,,0.156885875
2020,1,16,19,0,0,5.98,9.79,0,,0.156885875
2020,1,16,20,0,0,6.02,10.34,0,,0.156885875
2020,1,16,21,0,0,6.15,10.76,0,,0.156885875
2020,1,16,22,0,0,6.35,11.03,0,,0.156885875
2020,1,16,23,0,0,6.71,11.1,0,,0.156885875
2020,1,17,0,0,0,7.05,10.97,0,,0.156885875
2020,1,17,1,0,0,7.43,10.83,0,,0.156885875
2020,1,17,2,0,0,7.58,10.76,0,,0.156885875
2020,1,17,3,0,0,7.51,10.55,0,,0.156885875
2020,1,17,4,0,0,7.49,10.34,0,,0.156885875
2020,1,17,5,0,0,7.46,10,0,,0.323028597
2020,1,17,6,0,0,7.42,9.59,0,,0.595172908
2020,1,17,7,0,0,7.15,9.17,0,,0.981274233
2020,1,17,8,0,0,7.02,9.1,0,,1.447713731
2020,1,17,9,36.4,7.17,7.23,9.03,0,,1.911261227
2020,1,17,10,62.95,10.98,7.51,8.9,0,,2.257888352
2020,1,17,11,24.8,12.88,7.72,8.76,0,,2.386876422
2020,1,17,12,31.88,12.72,7.67,8.62,0,,2.257888352
2020,1,17,13,20.37,10.51,7.57,8.34,0,,1.911261227
2020,1,17,14,6.2,6.43,7.42,8,0,,1.447713731
2020,1,17,15,0,0,7.26,7.59,0,,0.981274233
2020,1,17,16,0,0,7.1,7.03,0,,0.595172908
2020,1,17,17,0,0,7.02,6.55,0,,0.323028597
2020,1,17,18,0,0,7.04,6.55,0,,0.156885875
2020,1,17,19,0,0,6.9,5.79,0,,0.156885875
2020,1,17,20,0,0,6.88,6.14,0,,0.156885875
2020,1,17,21,0,0,6.96,6.9,0,,0.156885875
2020,1,17,22,0,0,7.09,7.03,0,,0.156885875
2020,1,17,23,0,0,7.11,7.1,0,,0.156885875
2020,1,18,0,0,0,6.98,7.38,0,,0.156885875
2020,1,18,1,0,0,6.79,7.86,0,,0.156885875
2020,1,18,2,0,0,6.51,7.38,0,,0.156885875
2020,1,18,3,0,0,6.26,7.1,0,,0.156885875
2020,1,18,4,0,0,6.09,7.86,0,,0.156885875
2020,1,18,5,0,0,5.88,8.14,0,,0.323028597
2020,1,18,6,0,0,5.64,8,0,,0.595172908
2020,1,18,7,0,0,5.73,8.62,0,,0.981274233
2020,1,18,8,0,0,5.78,8.34,0,,1.447713731
2020,1,18,9,94.44,7.34,5.9,8.69,0,,1.911261227
2020,1,18,10,191.02,11.16,6.29,8.9,0,,2.257888352
2020,1,18,11,27.45,13.07,6.61,9.03,0,,2.386876422
2020,1,18,12,15.06,12.92,6.64,9.03,0,,2.257888352
2020,1,18,13,168.41,10.72,6.53,9.1,0,,1.911261227
2020,1,18,14,52.74,6.65,6.31,9.24,0,,1.447713731
2020,1,18,15,0,0,6.33,8.55,0,,0.981274233
2020,1,18,16,0,0,6.39,8.14,0,,0.595172908
2020,1,18,17,0,0,6.33,8.28,0,,0.323028597
2020,1,18,18,0,0,6.23,8.55,0,,0.156885875
